pseudo;nom complet;Bio;Avatar;Thématique1;Thématique2;Crédibilité;Type de compte
@Agence_France_Bref ;Agence France Bref;Notre agence de presse, créée en 1944, dispose d’un réseau de journalistes dans le monde entier. Nous sommes connus pour traiter les actualités internationales avec rapidité et précision. Et aussi, notre cantine est hyper bonne !;;International;Économie;Très crédible;fil d’agence / organes de presse (type AFP)
@francediplo;Ministère des Affaires étrangères;Notre mission : faire rayonner le pays à l'étranger, œuvrer pour la paix dans le monde et organiser des réceptions qui sont toujours un succès. ;;International;Politique;Très crédible;Compte officiel
@EuropeInfo;Europe Info;Fil Cuicuitter d'un blog rassemblant des passionnés de l'Union européenne. Tout ce qui se passe en Europe se retrouve ici !;;International;;Assez crédible;Compte non identifié
@PassionAsie;Alain Dochine;Savez-vous ce qui se passe de l'autre côté du monde, en Asie ? Non ? Alors suivez-moi !;;International;Culture, sport et people;Assez crédible;Compte d'expert
@VivelesUS;Vive les USA !;1001 raisons qui montrent pourquoi les USA sont les BOSS du monde ! Ici, tout est vrai, pas comme sur @RussiedAmour !;;International;;Peu crédible;Compte non identifié
@RussiedAmour;La Russie, j'adore !;Des nouvelles fraîches de la plus belle des fédérations, la Russie ! Nous corrigeons aussi les inepties que raconte @VivelesUS…;;International;;Peu crédible;Compte non identifié
@BernardPipot1;Bernard Pipot;Ancien journaliste. Amoureux des lettres, de l'orthographe, du théâtre et de la littérature, j'adore faire des jeux de mots. A Meaux. ;;Culture, sport et people;;Très crédible;Compte d'expert
@La_FFS;Fédération française de sport;Compte officiel de la Fédération française de sport. Allez les Bleus ! Si vous gagnez, c'est bien ! Si vous perdez, c'est bien aussi… mais moins.;;Culture, sport et people;;Très crédible;Compte officiel
@RicylNanouna;Ricyl Nanouna;J’adore les stars, les soirées, les lunettes de soleil et les secrets ! Je travaille pour une super émission de la TNT, que vous regardez tous, même si vous ne voulez pas l'avouer !;;Culture, sport et people;;Assez crédible;Compte de journaliste
@CultureStreet;Culture Street;Comme l'a dit le grand philosophe Justin Ptitbeurre : « La culture, c'est bien ». Le premier site d'actu des cultures urbaines.;;Culture, sport et people;Science, technologie et jeux vidéo;Assez crédible;fil d’agence / organes de presse (type AFP)
@SblaggMan_Officiel;Sblagg Man;Je suis Sblagg Man. Tout le monde me connaît. Pas toi ? Tssss… T'as pas regardé mes vidéos sur GroTube, ou quoi ? ;;Culture, sport et people;International;Peu crédible;Compte de people
@APManiac;André-Pierre Maniac;Footballeur. Attaquant. Buteur. Le meilleur.;;Culture, sport et people;;Peu crédible;Compte de people
@educnat;Éducation nationale ;Compte officiel du ministère de l'Éducation nationale. Attention : nous nous donnons le droit de corriger tous les Cuitts que nous verrons passer avec des fautes d'orthographe !;;Société;Science, technologie et jeux vidéo;Très crédible;Compte officiel
@INSCD;Institut national des statistiques, chiffres et données;L'INSCD collecte, produit, analyse et diffuse des informations sur l'économie et la société françaises. Nos analystes sont si forts qu'ils savent compter jusqu'à 11 sur leurs doigts.;;Société;Economie;Très crédible;Compte d'expert
@CTT;Confédération totale des travailleurs;Le compte de la Confédération totale des travailleurs, une organisation syndicale qui se bat pour les travailleurs. Même que parfois, on se fâche tout rouge !;;Société;;Assez crédible;Compte de com'
@MaitreLégolas;Jean-Philippe Légolas;Avocat le jour, justicier la nuit !;;Société;Politique;Assez crédible;Compte d'expert
@revoltes;Les Révoltés;Les Révoltés est un réseau de citoyens qui protestent contre les injustices de la société, comme le fait que ce n'est jamais les premiers qui sont les derniers.;;Société;;Peu crédible;Compte non identifié
@lasantefacile;Docteur M. Aison;Pour se soigner, rien de mieux que la technique ancienne de la résonance chamanique inversée… Et peut-être un peu d'aspirine, parfois.;;Société;;Peu crédible;Compte non identifié
@eplenel;Edwige Plenel;Journaliste, rédactrice en chef du site MediaTart. Poil à gratter des hommes politiques : ils n'ont pas de secrets assez bien cachés pour nous !;;Politique;International;Très crédible;Compte de journaliste
@elysee_direct;Palais de l'Élysée;Le compte officiel de la présidence de la République française et du Palais de l'Élysée. C'est plutôt un compte sérieux, quoi. ;;Politique;Société;Très crédible;Compte officiel
@fil_pol;Le Fil Politique;Nous sommes une agence de presse spécialisée dans la politique. Des couloirs de l'Assemblée au parc du Sénat, nous avons des oreilles partout !;;Politique;Culture, sport et people;Assez crédible;fil d’agence / organes de presse (type AFP)
@terravieilla;Terra Vieilla;Terra Vieilla est un « think tank », un groupe de réflexion et laboratoire d'idées progressiste et indépendant. Les hommes politiques avisés feraient bien de nous écouter !;;Politique;Économie;Assez crédible;Compte d'expert
@NadineParano;Nadine Parano;Députée du Parti des Vrais Gens, membre actif de l'opposition, toujours prête à faire entendre la voix du peuple à l'Assemblée nationale. Votez pour moi !;;Politique;;Peu crédible;Compte officiel
@toute_la_verite;Basile Uminati;Le gouvernement vous ment. L'establishment vous ment. Votre maman vous ment. Il n'y a que moi qui dit la vérité. Toute la vérité.;;Politique;;Peu crédible;Compte non identifié
@Alain_Flation ;Alain Flation;Docteur en finance, en macroéconomie, en microéconomie et aussi en tango roumain, mais c'est parce que je m'étais trompé de salle de cours.;;Économie;International;Très crédible;Compte d'expert
@EcoFin;Ministère de l'Economie et des Finances;Le compte officiel du ministère de l'Économie et des Finances. Parce qu'un Cuitt sans chiffres n'est pas un bon Cuitt.;;Économie;Politique;Très crédible;
@BPP-PBB;BPP - PariBaBas;Ce compte, qui vous fournit les dernières infos sur l'économie, est sponsorisé par la banque BPP- PariBaBas;;Économie;;Assez crédible;Compte de com'
@Capitotal;Capitotal;Capitotal est un magazine d'analyse financière. Nos journalistes sont si sérieux qu'ils mettent des costumes-cravates même à la plage.;;Économie;Société;Assez crédible;fil d’agence / organes de presse (type AFP)
@lapetitesouris;M. Mouse;Spécialisé depuis des années dans l'import-export, notamment de molaires et canines, je suis réputé pour ma ponctualité.;;Économie;;Peu crédible;Compte non identifié
@bourse_facile;La Bourse Facile;Devenez riche facilement grâce à nos conseils et à nos informations sur le business. Les plus grands comme Steve Flops et Bill Grattes nous ont fait confiance !;;Économie;Science, technologie et jeux vidéo;Peu crédible;fil d’agence / organes de presse (type AFP)
@eureka;Al Bernstein;"Physicien, prix Nobel 2013. Il n'y a que deux choses qui soient infinies : l'univers et la stupidité des humains ! ;-)";;Science, technologie et jeux vidéo;Culture, sport et people;Très crédible;Compte d'expert
@CNRT;Centre national de la recherche technologique;Le CNRT est un organisme public de recherche, dont le but est de rechercher des trucs jusqu'à ce qu'on les ait trouvés. Et on est plutôt du genre têtu !;;Science, technologie et jeux vidéo;Société;Très crédible;Compte officiel
@BibiSoft ;BibiSoft SA.;Sur Paystation ou sur XBoite, les meilleurs jeux sont signés BibiSoft !;;Science, technologie et jeux vidéo;;Assez crédible;Compte de com'
@Banana;Banana Inc. ;Compte de la célèbre marque de téléphones portables et tablettes tactiles. Suivez-nous pour être au courant de toutes les nouveautés !;;Science, technologie et jeux vidéo;;Assez crédible;Compte de com'
@madprofessor;Alex Perience;Bienvenue sur mon compte : ici vous trouverez toutes les informations que les autres scientifiques refusent de vous dire… Prêts à tenter l'expérience ?;;Science, technologie et jeux vidéo;;Peu crédible;Compte non identifié
@gamesSCOOP;Games Scoop;Tous les derniers scoops sur les sorties de jeux vidéo à venir. Nos infos sont vérifiées à 100%, ou presque.;;Science, technologie et jeux vidéo;;Peu crédible;fil d’agence / organes de presse (type AFP)
;;;;;;;
Niveau de crédibilité :;Types de comptes :;Types de sources :;Liste des catégories :;Niveaux de crédibilité :;;;
Très crédible;fil d’agence / organes de presse (type AFP);Agences de presse;Société;Peu crédible;;;
Assez crédible;comptes de sources officielles (compte officiel de star, d’institutions, de ministres…);Sources officielles;Politique;assez crédible;;;
Peu crédible;comptes d’experts (universitaires…);Experts et universitaires;International;très crédible;;;
;comptes de communicants (attachés de presse, directeurs de communication, responsables marketing, lobbys...);Communicants;Économie;;;;
;comptes d’autres journalistes;Autres journalistes;Science, technologie et jeux vidéo;;;;
;comptes « non identifiés » (sources à vérifier avec précaution, pouvant donner des scoops potentiels comme des infos complètement fausses);Comptes non identifiés;Culture, sport et people;;;;
;;;;;;;
http://ymobactus.miaouw.net/labo-top-journalistes.php?mode=followers&liste=francais&theme=economie;;;;;;;